kW,CH01+CH03+CH04+CH05+CH06+CH07,CH01+CH02+CH04+CH05+CH06+CH07,CH01+CH02+CH03+CH05+CH06+CH07,CH01+CH02+CH03+CH04+CH06+CH07,CH01+CH02+CH03+CH04+CH05+CH07,CH01+CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH06+CH07
15500,7.776150377335788,7.951477615493023,7.127735670901575,7.538973709667324,7.573571844213663,7.152444960579966,7.313933350110599
15600,7.736365474404633,7.908746164588001,7.173721062326746,7.587612249729694,7.6224335980473,7.12241714164946,7.281487924940925
15700,7.697259418220927,7.850834783903123,7.219706453751917,7.636250789792063,7.671295351880936,7.08167570897719,7.245434188354391
15800,7.746286548273289,7.900840100998047,7.159819140847854,7.5665469419187215,7.600734462662993,7.12678192368405,7.291583450700598
15900,7.795313678325652,7.950845418092971,7.205134451865878,7.614436479525802,7.648840376983645,7.171888138390912,7.337732713046804
16000,7.844340808378014,8.000850735187896,7.250449762883903,7.662326017132883,7.696946291304297,7.216994353097773,7.3838819753930105
16100,7.893367938430377,8.05085605228282,7.2957650739019275,7.710215554739963,7.745052205624949,7.262100567804634,7.430031237739216
16200,7.848135397366392,7.985272897592371,7.281273358729613,7.704877505066051,7.741757264464946,7.215447000718621,7.388537959177864
16300,7.8045370199253865,7.939295625259172,7.326219490573623,7.752438477319545,7.789545889554235,7.182112226473628,7.352511581783346
16400,7.852417615139652,7.988002960383461,7.260529951275373,7.676224453546886,7.712381264015995,7.226174264672854,7.397619014800422
16500,7.9002982103539185,8.036710295507751,7.3048014753685155,7.723030700214855,7.759407979040484,7.270236302872078,7.442726447817497
16600,7.948178805568185,8.08541763063204,7.349072999461659,7.7698369468828234,7.806434694064971,7.314298341071303,7.4878338808345735
16700,7.996059400782451,8.13412496575633,7.393344523554801,7.816643193550792,7.853461409089459,7.358360379270527,7.532941313851649
