kW,CH01+CH02+CH03+CH04+CH05,CH01+CH02+CH03+CH04+CH06,CH01+CH02+CH03+CH04+CH07,CH01+CH02+CH03+CH05+CH06,CH01+CH02+CH03+CH05+CH07,CH01+CH02+CH03+CH06+CH07,CH01+CH02+CH04+CH05+CH06,CH01+CH02+CH04+CH05+CH07,CH01+CH02+CH04+CH06+CH07,CH01+CH02+CH05+CH06+CH07,CH01+CH03+CH04+CH05+CH06,CH01+CH03+CH04+CH05+CH07,CH01+CH03+CH04+CH06+CH07,CH01+CH03+CH05+CH06+CH07,CH01+CH04+CH05+CH06+CH07,CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH07,CH02+CH03+CH04+CH06+CH07,CH02+CH03+CH05+CH06+CH07,CH02+CH04+CH05+CH06+CH07,CH03+CH04+CH05+CH06+CH07
12400,7.087751213846417,7.0522599791128275,7.597885715978133,6.619004119474545,7.1111074811265125,7.077629326645037,7.36932089304962,8.098933748178329,8.05262641962455,7.492617920795882,7.181733492069989,7.837907978801222,7.794529492364853,7.2686715597030895,8.21826252572401,6.693400149685677,7.27033825897592,7.232999713608226,6.777968220237823,7.585010617011561,7.386429627232833
12500,7.0479561891564675,7.0131407599804145,7.659158987881182,6.5877529765295035,7.16845512210334,7.134706982505078,7.428750900251633,8.036551714664286,7.991315731360495,7.443622021038437,7.239650697651198,7.797728218052116,7.755133731524359,7.238288701741491,8.284538836415333,6.747379183150883,7.2347763835230054,7.198095589880081,6.750690462955452,7.646180057471333,7.445997608097614
12600,7.104339838669719,7.069245886060258,7.720432259784231,6.640455000341739,7.225802763080166,7.191784638365118,7.386441376940431,8.1008441283816,8.05524625721138,7.503170997206745,7.2009086156138915,7.860110043796532,7.817174801376554,7.296195011355423,8.224482499780825,6.717321336835658,7.29265459459119,7.2556803545991215,6.804695986659096,7.599610108371237,7.4033563338074515
12700,7.107977430509684,7.070808267356752,7.645856395005516,6.632761117216471,7.164017461797098,7.130839347072038,7.44506392755107,8.096626439889697,8.04843353040726,7.48570189383628,7.25805868399178,7.857977030426648,7.8125752742676395,7.281253278773055,8.289756170414005,6.770633410937529,7.294964257518194,7.25581916706524,6.795295216504825,7.659924474310691,7.46211313010751
12800,7.16394575673417,7.126483923005231,7.684802882018918,6.6849875827063645,7.188115663678267,7.152749810768485,7.416270962640127,8.160379403983317,8.111807022772672,7.544644428433417,7.24869765060942,7.919850865311897,7.874091615009904,7.33858598175552,8.265357322830592,6.761649120565135,7.352404920963219,7.31295160145158,6.848801478052107,7.63801877230975,7.4603947068821
12900,7.219914082958655,7.182159578653709,7.744840404534691,6.737214048196258,7.244272817300754,7.208630668665114,7.474210579535753,8.224132368076937,8.175180515138084,7.603586963030552,7.305328101004806,7.981724700197146,7.93560795575217,7.3959186847379845,8.329930426915206,6.81447450431955,7.409845584408244,7.3700840358379205,6.902307739599389,7.69769079396842,7.518679040529617
13000,7.174096360123082,7.137103555853839,7.804877927050463,6.700726695371306,7.30042997092324,7.264511526561742,7.532150196431378,8.154012953494002,8.106257842221284,7.5479577677826875,7.361958551400192,7.935258098551144,7.890023845478476,7.360138267415902,8.39450353099982,6.8672998880739655,7.368668360058054,7.329647203910084,6.870165640538481,7.75736281562709,7.576963374177133
13100,7.229281716739413,7.19200435243733,7.864915449566237,6.752270746874162,7.356587124545727,7.320392384458372,7.590089813327005,8.21673613005934,8.168613671776832,7.606018981381016,7.418589001795578,7.996298545463076,7.950716336597542,7.4167547156267934,8.459076635084434,6.920125271828381,7.425350424366193,7.386029105478623,6.923013068542623,7.817034837285759,7.63524770782465
13200,7.284467073355745,7.2469051490208205,7.782328479694376,6.803814798377018,7.2878150035369,7.25256000071593,7.450726395566161,8.279459306624679,8.230969501332382,7.664080194979344,7.304564552945381,8.057338992375009,8.011408827716606,7.473371163837685,8.298542502865606,6.819978381921551,7.4820324886743315,7.442411007047162,6.975860496546765,7.678697547373043,7.523547717442234
13300,7.284172437300873,7.244432174679114,7.841285513631455,6.791903250534343,7.343025723260665,7.307503637084991,7.507171292502267,8.270585189366448,8.219390839137686,7.641718999138214,7.359902163194967,8.050556604806241,8.002041955556907,7.453497963542533,8.361410249099436,6.871644884814896,7.480196350162811,7.438294564148947,6.962018200957447,7.736869498489506,7.580544291059221
13400,7.233084349520184,7.194188937581712,7.877873927263668,6.750848308746833,7.364306748415232,7.326489111904992,7.563616189438375,8.193732774334732,8.143855254667756,7.580327440979607,7.415239773444553,7.998586838631497,7.951049950068031,7.4130078190621775,8.424277995333266,6.9233113877082415,7.434157216660731,7.393075377134351,6.9256795092023475,7.795041449605968,7.6375408646762075
13500,7.2870625909345135,7.247876914727844,7.936664031198472,6.80122777373748,7.419264261463107,7.38116440378488,7.620061086374482,8.254880033844692,8.204630293881696,7.636897048748112,7.47057738369414,8.058277785188448,8.010386143725254,7.468328772935776,8.487145741567097,6.974977890601586,7.489636001859692,7.448247581441324,6.977363684644156,7.853213400722431,7.694537438293194
13600,7.341040832348844,7.301564891873976,7.847108104375419,6.851607238728128,7.344429981091282,7.307366052307933,7.579304264723437,8.316027293354654,8.265405333095634,7.693466656516616,7.4523669889353705,8.1179687317454,8.06972233738248,7.523649726809374,8.450124910608341,6.958322270852226,7.545114787058653,7.503419785748297,7.0290478600859645,7.820522493832934,7.68544885348326
13700,7.395019073763173,7.355252869020108,7.904807428672297,6.9019867037187765,7.398433142716954,7.361096685045491,7.635034443140522,8.377174552864615,8.326180372309572,7.750036264285121,7.507163805030483,8.177659678302351,8.129058531039703,7.578970680682973,8.512258182009873,7.009486405196728,7.600593572257614,7.55859199005527,7.080732035527773,7.878026335699353,7.741959506817696
13800,7.448997315177503,7.4089408461662405,7.962506752969174,6.952366168709425,7.4524363043426245,7.4148273177830495,7.582562279824538,8.438321812374575,8.38695541152351,7.806605872053625,7.457327594681413,8.237350624859303,8.188394724696927,7.634291634556571,8.440114098219897,6.9693469283381475,7.656072357456574,7.613764194362242,7.1324162109695814,7.8203825225408385,7.687237867567258
13900,7.3340022292219755,7.292902887087266,8.020206077266053,6.83996606882194,7.506439465968295,7.468557950520608,7.637508383301527,8.27955988779759,8.227217487784252,7.655342807605017,7.511366200439974,8.108345718621031,8.058139163561794,7.508743438263883,8.501274345308447,7.019849442311612,7.5433449443047,7.499872779610059,7.021705603364017,7.8770519611099745,7.742942489796006
14000,7.386764835187602,7.345369814332497,8.054433332802105,6.88917445780627,7.524881172316053,7.484587459852675,7.591503048460021,8.339125066846492,8.286406102804282,7.710417216292823,7.489175099549777,8.166679141057154,8.11611138776008,7.562763175229811,8.458707903973966,6.999823606565817,7.597613612968762,7.55382869888783,7.072221471014118,7.839690601457593,7.73061057528266
14100,7.439527441153228,7.39783674157773,7.956769800844053,6.9383828467906,7.4430008085520125,7.403855054220855,7.645728070234735,8.398690245895397,8.345594717824312,7.765491624980629,7.542669207403704,8.225012563493276,8.174083611958366,7.616782912195737,8.51912724614521,7.049822346612716,7.651882281632825,7.607784618165599,7.122737338664219,7.8956883914680045,7.785829222248965
14200,7.492290047118853,7.450303668822961,8.0132007923394,6.987591235774931,7.495788048328977,7.456364664534479,7.6999530920094506,8.4582554249443,8.404783332844342,7.820566033668435,7.59616331525763,8.2833459859294,8.232055836156654,7.670802649161665,8.579546588316452,7.099821086659615,7.7061509502968875,7.66174053744337,7.17325320631432,7.951686181478416,7.841047869215269
14300,7.428335312649525,7.387347739276767,8.06963178383475,6.935171480068989,7.548575288105942,7.508874274848102,7.642412613941394,8.364621184603692,8.31268622119549,7.744492584427563,7.5408635150866425,8.217706444880628,8.167574346350275,7.618389813915448,8.501435305098749,7.054690467393885,7.648222486202477,7.6047795364115025,7.1264554890649325,7.888547298029556,7.7803980848935135
14400,7.480281713437284,7.439007513677304,8.126062775330096,6.983669182726814,7.601362527882906,7.5613838851617245,7.695856058794131,8.42311503904148,8.370816894070982,7.798649875227756,7.5935968263809555,8.275172923516157,8.224690250870207,7.671665267159612,8.560885901637901,7.104023967165871,7.701706559532565,7.657959812889905,7.176290842135317,7.943711964449343,7.834806463109552
14500,7.47310634317637,7.42948467617081,8.182493766825445,6.964479808251111,7.654149767659871,7.613893495475348,7.6438186156596615,8.406718253218635,8.351556719608375,7.76849509884982,7.566819125211257,8.260345179465073,8.207081721502599,7.6433377226387655,8.511937861555865,7.080131982773843,7.692531472887352,7.646318482777616,7.1546727417344815,7.900988727915061,7.81874877994014
14600,7.524645007612068,7.480722501523712,8.052256113973312,7.012510703480429,7.528226930864334,7.486992930381363,7.696534606112486,8.464695620482212,8.409153662502225,7.822070927117749,7.619004084695472,8.317313077254488,8.263682285099168,7.6960503965879985,8.570640881290734,7.128960479206767,7.745583414079679,7.699051713693324,7.204015312367133,7.955478305348958,7.872671185319038
14700,7.576183672047767,7.531960326876614,8.107408553110115,7.060541598709747,7.579790129020939,7.538273703877126,7.749250596565312,8.52267298774579,8.466750605396077,7.875646755385679,7.671189044179688,8.374280975043902,8.320282848695738,7.7487630705372315,8.629343901025601,7.1777889756396895,7.798635355272006,7.751784944609032,7.253357882999785,8.009967882782854,7.9265935906979355
14800,7.505888593548146,7.462771354730375,8.162560992246918,7.002643460719466,7.631353327177544,7.5895544773728885,7.801966587018137,8.420958934144528,8.366725666755897,7.792664807664061,7.723374003663904,8.301933537971301,8.249217748953813,7.690630371568616,8.688046920760469,7.226617472072613,7.73491050259778,7.689129933801376,7.201577582912673,8.064457460216753,7.980515996076833
